"Site ID (new)","Site On-air Date","Design Type","Dismantle Date"
"DHK_X1798","40121.0","",""
"DHK_X1906","39689.0","RT","40570.0"
"DHK_X2181","","",""
"DHK_X3384","39964.0","RT","40003.0"
"DHK_X3809","40496.0","",""
"KHU_B0152_1","39114.0","IBS","39233.0"
"KHU_B0152_2","39114.0","IBS","39233.0"
"KHU_B0152_3","39116.0","IBS","39233.0"
"KHU_B0152_4","39116.0","IBS","39233.0"
"KHU_B0152_5","39116.0","IBS","39233.0"
"KHU_B0152_6","39116.0","IBS","39233.0"
"KHU_B0700_4","39659.0","IBS","39867.0"
"KHU_M0010_6","39715.0","Micro","40615.0"
"KHU_M0041_6","39335.0","Micro","39485.0"
"KHU_M0051_4","39323.0","Micro","40924.0"
"KHU_M0064_5","39334.0","Micro","39485.0"
"KHU_M0073_4","39716.0","Micro","40615.0"
"KHU_M0077_5","39715.0","Micro","40924.0"
"KHU_M0082_4","39323.0","Micro","39536.0"
"KHU_M0082_5","39323.0","Micro","39536.0"
"KHU_M0082_6","39323.0","Micro","39536.0"
"KHU_M0084_5","39716.0","Micro","40753.0"
"KHU_M0085_5","39334.0","Micro","39532.0"
"KHU_M0096_5","39325.0","Micro","39490.0"
"KHU_M0096_6","39325.0","Micro","39485.0"
"KHU_M0106_6","39338.0","Micro","39485.0"
"KHU_M0116_4","39716.0","Micro","40753.0"
"KHU_M0149_5","39716.0","Micro","40753.0"
"KHU_M0243_6","39718.0","Micro","40753.0"
"KHU_M0286_6","39720.0","Micro","40806.0"
"KHU_M0301_4","39299.0","Micro","40889.0"
"KHU_N043_01","39629.0","Nano","42352.0"
"KHU_N043_02","39629.0","Nano","42352.0"
"MOB_02_002","39413.0","Micro","Done"
"RAJ_M0360_4","39350.0","Micro","39627.0"
"RAJ_N085_04","39626.0","Nano","42074.0"
"RAJ_N085_05","39626.0","Nano","42074.0"
"RAJ_X0046","38490.0","RT","39116.0"
"SYL_B0401_4","40283.0","IBS","42546.0"
"SYL_G0300","40383.0","",""
"SYL_M0005_4","39333.0","Micro","39820.0"
"SYL_M0145_4","39308.0","Micro","42414.0"
"SYL_N057_01","40176.0","Nano","42324.0"
"SYL_N057_02","40176.0","Nano","42324.0"
"SYL_N057_03","40176.0","Nano","42324.0"
"SYL_N057_04","40176.0","Nano","42324.0"
